INSERT INTO ord (order_id, product_id, product_name, price, order_date, delivery_date) VALUES
(1001, 1, 'Laptop', 75000, '2025-03-01', '2025-03-05'),
(1002, 2, 'Smartphone', 25000, '2025-03-02', '2025-03-06'),
(1003, 3, 'Headphones', 3000, '2025-03-03', '2025-03-07'),
(1004, 4, 'Tablet', 20000, '2025-03-04', '2025-03-08'),
(1005, 5, 'Smartwatch', 12000, '2025-03-05', '2025-03-09'),
(1006, 6, 'DSLR Camera', 55000, '2025-03-06', '2025-03-10'),
(1007, 7, 'Gaming Console', 40000, '2025-03-07', '2025-03-11'),
(1008, 8, 'Bluetooth Speaker', 5000, '2025-03-08', '2025-03-12'),
(1009, 9, 'Monitor', 18000, '2025-03-09', '2025-03-13'),
(1010, 10, 'Keyboard', 2500, '2025-03-10', '2025-03-14'),
(1011, 11, 'Mouse', 1500, '2025-03-11', '2025-03-15'),
(1012, 12, 'External Hard Drive', 7000, '2025-03-12', '2025-03-16'),
(1013, 13, 'Wireless Router', 4000, '2025-03-13', '2025-03-17'),
(1014, 14, 'Power Bank', 2000, '2025-03-14', '2025-03-18'),
(1015, 15, 'Smart TV', 45000, '2025-03-15', '2025-03-19'),
(1016, 16, 'Graphics Card', 65000, '2025-03-16', '2025-03-20'),
(1017, 17, 'RAM(16GB)', 8000, '2025-03-17', '2025-03-21'),
(1018, 18, 'SSD(1TB)', 10000, '2025-03-18', '2025-03-22'),
(1019, 19, 'Gaming Mouse', 3500, '2025-03-19', '2025-03-23'),
(1020, 20, 'Wireless Earbuds', 6000, '2025-03-20', '2025-03-24'),
(1021, 21, 'Projector', 32000, '2025-03-21', '2025-03-25'),
(1022, 22, 'VR Headset', 22000, '2025-03-22', '2025-03-26'),
(1023, 23, 'Printer', 15000, '2025-03-23', '2025-03-27'),
(1024, 24, 'Scanner', 12000, '2025-03-24', '2025-03-28'),
(1025, 25, 'Microwave Oven', 18000, '2025-03-25', '2025-03-29'),
(1026, 26, 'Air Purifier', 22000, '2025-03-26', '2025-03-30'),
(1027, 27, 'Smart Door Lock', 16000, '2025-03-27', '2025-03-31'),
(1028, 28, 'Fitness Tracker', 8000, '2025-03-28', '2025-04-01'),
(1029, 29, 'E-Book Reader', 14000, '2025-03-29', '2025-04-02'),
(1030, 30, 'Electric Kettle', 3500, '2025-03-30', '2025-04-03'),
(1031, 31, 'Coffee Maker', 10000, '2025-03-31', '2025-04-04'),
(1032, 32, 'Induction Cooktop', 7000, '2025-04-01', '2025-04-05'),
(1033, 33, 'Toaster', 2500, '2025-04-02', '2025-04-06'),
(1034, 34, 'Hair Dryer', 4000, '2025-04-03', '2025-04-07'),
(1035, 35, 'Beard Trimmer', 3000, '2025-04-04', '2025-04-08'),
(1036, 36, 'Vacuum Cleaner', 12000, '2025-04-05', '2025-04-09'),
(1037, 37, 'Electric Shaver', 5500, '2025-04-06', '2025-04-10'),
(1038, 38, 'Washing Machine', 35000, '2025-04-07', '2025-04-11'),
(1039, 39, 'Refrigerator', 60000, '2025-04-08', '2025-04-12'),
(1040, 40, 'Air Conditioner', 45000, '2025-04-09', '2025-04-13'),
(1041, 41, 'Water Heater', 18000, '2025-04-10', '2025-04-14'),
(1042, 42, 'Sewing Machine', 15000, '2025-04-11', '2025-04-15'),
(1043, 43, 'Drone Camera', 55000, '2025-04-12', '2025-04-16'),
(1044, 44, 'Home Theater System', 32000, '2025-04-13', '2025-04-17'),
(1045, 45, 'Soundbar', 18000, '2025-04-14', '2025-04-18'),
(1046, 46, 'Car Dash Camera', 8000, '2025-04-15', '2025-04-19'),
(1047, 47, 'Car Vacuum Cleaner', 5000, '2025-04-16', '2025-04-20'),
(1048, 48, 'Digital Drawing Tablet', 25000, '2025-04-17', '2025-04-21'),
(1049, 49, 'Security Camera', 15000, '2025-04-18', '2025-04-22'),
(1050, 50, 'Smart Light Bulb', 2000, '2025-04-19', '2025-04-23'),
(1051, 51, 'Laptop', 78000, '2025-04-20', '2025-04-24'),
(1052, 52, 'Smartphone', 26000, '2025-04-21', '2025-04-25'),
(1053, 53, 'Headphones', 3200, '2025-04-22', '2025-04-26'),
(1054, 54, 'Tablet', 21000, '2025-04-23', '2025-04-27'),
(1055, 55, 'Smartwatch', 12500, '2025-04-24', '2025-04-28'),
(1056, 56, 'DSLR Camera', 56000, '2025-04-25', '2025-04-29'),
(1057, 57, 'Gaming Console', 42000, '2025-04-26', '2025-04-30'),
(1058, 58, 'Bluetooth Speaker', 5200, '2025-04-27', '2025-05-01'),
(1059, 59, 'Monitor', 18500, '2025-04-28', '2025-05-02'),
(1060, 60, 'Keyboard', 2700, '2025-04-29', '2025-05-03'),
(1061, 61, 'Mouse', 1700, '2025-04-30', '2025-05-04'),
(1062, 62, 'External Hard Drive', 7500, '2025-05-01', '2025-05-05'),
(1063, 63, 'Wireless Router', 4200, '2025-05-02', '2025-05-06'),
(1064, 64, 'Power Bank', 2200, '2025-05-03', '2025-05-07'),
(1065, 65, 'Smart TV', 46000, '2025-05-04', '2025-05-08'),
(1066, 66, 'Graphics Card', 67000, '2025-05-05', '2025-05-09'),
(1067, 67, 'RAM (16GB)', 8500, '2025-05-06', '2025-05-10'),
(1068, 68, 'SSD (1TB)', 10500, '2025-05-07', '2025-05-11'),
(1069, 69, 'Gaming Mouse', 3700, '2025-05-08', '2025-05-12'),
(1070, 70, 'Wireless Earbuds', 6300, '2025-05-09', '2025-05-13'),
(1071, 71, 'Projector', 33000, '2025-05-10', '2025-05-14'),
(1072, 72, 'VR Headset', 23000, '2025-05-11', '2025-05-15'),
(1073, 73, 'Printer', 15500, '2025-05-12', '2025-05-16'),
(1074, 74, 'Scanner', 12500, '2025-05-13', '2025-05-17'),
(1075, 75, 'Microwave Oven', 19000, '2025-05-14', '2025-05-18'),
(1076, 76, 'Air Purifier', 22500, '2025-05-15', '2025-05-19'),
(1077, 77, 'Smart Door Lock', 17000, '2025-05-16', '2025-05-20'),
(1078, 78, 'Fitness Tracker', 8500, '2025-05-17', '2025-05-21'),
(1079, 79, 'E-Book Reader', 14500, '2025-05-18', '2025-05-22'),
(1080, 80, 'Electric Kettle', 3600, '2025-05-19', '2025-05-23'),
(1081, 81, 'Coffee Maker', 10500, '2025-05-20', '2025-05-24'),
(1082, 82, 'Induction Cooktop', 7500, '2025-05-21', '2025-05-25'),
(1083, 83, 'Toaster', 2700, '2025-05-22', '2025-05-26'),
